;ncm;descricao;alq_ipi;aliq_ipi
4728;2933.29.21;Econazol e seu nitrato;0.0;0.0
4729;2933.29.22;Nitrato de miconazol;0.0;0.0
4730;2933.29.23;Cloridrato de clonidina;0.0;0.0
4731;2933.29.24;Nitrato de isoconazol;0.0;0.0
4732;2933.29.25;Clotrimazol;0.0;0.0
4733;2933.29.29;Outros;0.0;0.0
4734;2933.29.30;Cimetidina e seus sais;0.0;0.0
4735;2933.29.40;4-Metil-5-hidroximetilimidazol e seus sais;0.0;0.0
4736;2933.29.9;Outros;;
4737;2933.29.91;Imidazol;0.0;0.0
4738;2933.29.92;Histidina e seus sais;0.0;0.0
4739;2933.29.93;Ondansetron e seus sais;0.0;0.0
4740;2933.29.94;1-Hidroxietil-2-undecanoilimidazolina;0.0;0.0
4741;2933.29.95;1-Hidroxietil-2-(8-heptadecenoil)imidazolina;0.0;0.0
4742;2933.29.99;Outros;0.0;0.0
4743;2933.3;- Compostos cuja estrutura contém um ciclo piridina (hidrogenado ou não) não condensado:;;
4744;2933.31;--Piridina e seus sais;;
4745;2933.31.10;Piridina;0.0;0.0
4746;2933.31.20;Sais;0.0;0.0
4747;2933.32.00;--Piperidina e seus sais;0.0;0.0
4748;2933.33;"--Alfentanilo (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), cetobemidona(DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP),fenoperidina (DCI), fentanilo (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI),intermediário A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI) etrimeperidina (DCI); sais destes produtos";;
4749;2933.33.1;"Alfentanilo e anileridina; sais destes produtos";;
4750;2933.33.11;Alfentanilo;0.0;0.0
4751;2933.33.12;Anileridina;0.0;0.0
4752;2933.33.19;Outros;0.0;0.0
4753;2933.33.2;"Bezitramida e bromazepam; sais destes produtos";;
4754;2933.33.21;Bezitramida;0.0;0.0
4755;2933.33.22;Bromazepam;0.0;0.0
4756;2933.33.29;Outros;0.0;0.0
4757;2933.33.30;Cetobemidona e seus sais;0.0;0.0
4758;2933.33.4;Difenoxilato e seus sais;;
4759;2933.33.41;Difenoxilato;0.0;0.0
4760;2933.33.42;Cloridrato de difenoxilato;0.0;0.0
4761;2933.33.49;Outros;0.0;0.0
4762;2933.33.5;"Difenoxina e dipipanona; sais destes produtos";;
4763;2933.33.51;Difenoxina;0.0;0.0
4764;2933.33.52;Dipipanona;0.0;0.0
4765;2933.33.59;Outros;0.0;0.0
4766;2933.33.6;"Fenciclidina, fenoperidina e fentanilo; sais destes produtos";;
4767;2933.33.61;Fenciclidina;0.0;0.0
4768;2933.33.62;Fenoperidina;0.0;0.0
4769;2933.33.63;Fentanilo;0.0;0.0
4770;2933.33.69;Outros;0.0;0.0
4771;2933.33.7;"Metilfenidato e pentazocina; sais destes produtos";;
4772;2933.33.71;Metilfenidato;0.0;0.0
4773;2933.33.72;Pentazocina;0.0;0.0
4774;2933.33.79;Outros;0.0;0.0
4775;2933.33.8;"Petidina, intermediário A da petidina e pipradrol; sais destes produtos";;
4776;2933.33.81;Petidina;0.0;0.0
4777;2933.33.82;Intermediário A da petidina;0.0;0.0
4778;2933.33.83;Pipradrol;0.0;0.0
4779;2933.33.84;Cloridrato de petidina;0.0;0.0
4780;2933.33.89;Outros;0.0;0.0
4781;2933.33.9;"Piritramida, propiram e trimeperidina; sais destes produtos";;
4782;2933.33.91;Piritramida;0.0;0.0
4783;2933.33.92;Propiram;0.0;0.0
4784;2933.33.93;Trimeperidina;0.0;0.0
4785;2933.33.99;Outros;0.0;0.0
4786;2933.39;--Outros;;
4787;2933.39.1;Cuja estrutura contém flúor, bromo ou ambos, em ligação covalente;;
4788;2933.39.12;Droperidol;0.0;0.0
4789;2933.39.13;Ácido niflúmico;0.0;0.0
4790;2933.39.14;Haloxifop (ácido (RS)-2-(4-(3-cloro-5-trifluorometil-2-piridiloxi)fenoxi)propiônico);0.0;0.0
4791;2933.39.15;Haloperidol;0.0;0.0
4792;2933.39.19;Outros;0.0;0.0
4793;2933.39.2;Cuja estrutura contém cloro, mas não contém flúor nem bromo, em ligação covalente;;
4794;2933.39.21;Picloram;0.0;0.0
4795;2933.39.22;Clorpirifós;0.0;0.0
4796;2933.39.23;Malato ácido de cleboprida (malato de cleboprida);0.0;0.0
4797;2933.39.24;Cloridrato de loperamida;0.0;0.0
4798;2933.39.25;Ácido 2-(2-metil-3-cloroanilino)nicotínico e seu sal de lisina;0.0;0.0
4799;2933.39.29;Outros;0.0;0.0
4800;2933.39.3;"Cuja estrutura contém funções álcool, ácido carboxílico ou ambas, mas não contémhalogênios em ligação covalente";;
4801;2933.39.31;Terfenadina;0.0;0.0
4802;2933.39.32;Biperideno e seus sais;0.0;0.0
4803;2933.39.33;Ácido isonicotínico;0.0;0.0
4804;2933.39.34;5-Etil-2,3-dicarboxipiridina (5-EPDC);0.0;0.0
4805;2933.39.35;Imazetapir (ácido (RS)-5-etil-2-(4-isopropil-4-metil-5-oxo-2-imidazolin-2-il)nicotínico);0.0;0.0
4806;2933.39.36;Quinuclidin-3-ol;0.0;0.0
4807;2933.39.39;Outros;0.0;0.0
4808;2933.39.4;"Cuja estrutura contém funções éter, éster ou ambas, mas não contém funções álcoolou ácido carboxílico nem halogênios em ligação covalente";;
4809;2933.39.43;Nifedipina;0.0;0.0
4810;2933.39.44;Nitrendipina;0.0;0.0
4811;2933.39.45;Maleato de pirilamina;0.0;0.0
4812;2933.39.46;Omeprazol;0.0;0.0
4813;2933.39.47;Benzilato de 3-quinuclidinila;0.0;0.0
4814;2933.39.48;Nimodipina;0.0;0.0
4815;2933.39.49;Outros;0.0;0.0
4816;2933.39.8;"Outros, cuja estrutura contém um ciclo piridina (hidrogenado ou não) N-substituído comradicais alquila ou arila";;
4817;2933.39.81;Cloridrato de benzetimida;0.0;0.0
4818;2933.39.82;Cloridrato de mepivacaína;0.0;0.0
4819;2933.39.83;Cloridrato de bupivacaína;0.0;0.0
4820;2933.39.84;Dicloreto de paraquat;0.0;0.0
4821;2933.39.89;Outros;0.0;0.0
4822;2933.39.9;Outros;;
4823;2933.39.91;Cloridrato de fenazopiridina;0.0;0.0
4824;2933.39.92;Isoniazida;0.0;0.0
4825;2933.39.93;3-Cianopiridina;0.0;0.0
4826;2933.39.94;4,4'-Bipiridina;0.0;0.0
4827;2933.39.99;Outros;0.0;0.0
4828;2933.4;"- Compostos cuja estrutura contém ciclos quinoleína ou isoquinoleína (hidrogenados ounão) sem outras condensações:";;
4829;2933.41;--Levorfanol (DCI) e seus sais;;
4830;2933.41.10;Levorfanol;0.0;0.0
4831;2933.41.20;Sais;0.0;0.0
4832;2933.49;--Outros;;
4833;2933.49.1;Derivados do ácido quinolinocarboxílico;;
4834;2933.49.11;Ácido 2,3-quinolinodicarboxílico;0.0;0.0
4835;2933.49.12;Rosoxacina;0.0;0.0
4836;2933.49.13;Imazaquin;0.0;0.0
4837;2933.49.19;Outros;0.0;0.0
4838;2933.49.20;Oxaminiquina;0.0;0.0
4839;2933.49.30;Broxiquinolina;0.0;0.0
4840;2933.49.40;Ésteres do levorfanol;0.0;0.0
4841;2933.49.90;Outros;0.0;0.0
4842;2933.5;- Compostos cuja estrutura contém um ciclo pirimidina (hidrogenado ou não) ou piperazina:;;
4843;2933.52.00;--Malonilureia (ácido barbitúrico) e seus sais;0.0;0.0
4844;2933.53;"--Alobarbital(DCI),amobarbital(DCI),barbital(DCI),butalbital(DCI),butobarbital,ciclobarbital(DCI),fenobarbital(DCI),metilfenobarbital(DCI),pentobarbital(DCI),secbutabarbital (DCI), secobarbital (DCI) e vinilbital (DCI); sais destes produtos";;
4845;2933.53.1;"Alobarbital e amobarbital; sais destes produtos";;
4846;2933.53.11;Alobarbital e seus sais;0.0;0.0
4847;2933.53.12;Amobarbital e seus sais;0.0;0.0
4848;2933.53.2;"Barbital, butalbital e butobarbital; sais destes produtos";;
4849;2933.53.21;Barbital e seus sais;0.0;0.0
4850;2933.53.22;Butalbital e seus sais;0.0;0.0
4851;2933.53.23;Butobarbital e seus sais;0.0;0.0
4852;2933.53.30;Ciclobarbital e seus sais;0.0;0.0
4853;2933.53.40;Fenobarbital e seus sais;0.0;0.0
4854;2933.53.50;Metilfenobarbital e seus sais;0.0;0.0
4855;2933.53.60;Pentobarbital e seus sais;0.0;0.0
4856;2933.53.7;"Secbutabarbital e secobarbital; sais destes produtos";;
4857;2933.53.71;Secbutabarbital e seus sais;0.0;0.0
4858;2933.53.72;Secobarbital e seus sais;0.0;0.0
4859;2933.53.80;Venilbital e seus sais;0.0;0.0
4860;2933.54.00;"--Outros derivados de malonilureia (ácido barbitúrico); sais destes produtos";0.0;0.0
4861;2933.55;"--Loprazolam (DCI), mecloqualona (DCI), metaqualona (DCI) e zipeprol (DCI); sais destesprodutos";;
4862;2933.55.10;Loprazolam e seus sais;0.0;0.0
4863;2933.55.20;Mecloqualona e seus sais;0.0;0.0
4864;2933.55.30;Metaqualona e seus sais;0.0;0.0
4865;2933.55.40;Zipeprol e seus sais;0.0;0.0
4866;2933.59;--Outros;;
4867;2933.59.1;Cuja estrutura contém um ciclo piperazina;;
4868;2933.59.11;Oxatomida;0.0;0.0
4869;2933.59.12;Praziquantel;0.0;0.0
4870;2933.59.13;Norfloxacina e seu nicotinato;0.0;0.0
4871;2933.59.14;Flunarizina e seu dicloridrato;0.0;0.0
4872;2933.59.15;"Enrofloxacina; sais de piperazina";0.0;0.0
4873;2933.59.16;Cloridrato de buspirona;0.0;0.0
4874;2933.59.19;Outros;0.0;0.0
4875;2933.59.2;"Cuja estrutura contém um ciclo pirimidina (hidrogenado ou não) e halogênios em ligaçãocovalente";;
4876;2933.59.21;Bromacil;0.0;0.0
4877;2933.59.22;Terbacil;0.0;0.0
4878;2933.59.23;Fluorouracil;0.0;0.0
4879;2933.59.29;Outros;0.0;0.0
4880;2933.59.3;"Cuja estrutura contém um ciclo pirimidina (hidrogenado ou não) e enxofre, mas nãocontém halogênios em ligação covalente";;
4881;2933.59.31;Propiltiouracil;0.0;0.0
4882;2933.59.32;Diazinon;0.0;0.0
4883;2933.59.33;Pirazofós;0.0;0.0
4884;2933.59.34;Azatioprina;0.0;0.0
4885;2933.59.35;6-Mercaptopurina;0.0;0.0
4886;2933.59.39;Outros;0.0;0.0
4887;2933.59.4;"Cuja estrutura contém um ciclo pirimidina (hidrogenado ou não) e funções álcool, éterou ambas, mas não contém halogênios em ligação covalente nem enxofre";;
4888;2933.59.41;Trimetoprima;0.0;0.0
4889;2933.59.42;Aciclovir;0.0;0.0
4890;2933.59.43;Tosilatos de dipiridamol;0.0;0.0
4891;2933.59.44;Nicarbazina;0.0;0.0
4892;2933.59.45;Bissulfito de menadiona dimetilpirimidinol;0.0;0.0
4893;2933.59.49;Outros;0.0;0.0
4894;2933.59.9;Outros;;
4895;2933.59.91;Minoxidil;0.0;0.0
4896;2933.59.92;2-Aminopirimidina;0.0;0.0
4897;2933.59.99;Outros;0.0;0.0
4898;2933.6;- Compostos cuja estrutura contém um ciclo triazina (hidrogenado ou não) não condensado:;;
4899;2933.61.00;--Melamina;0.0;0.0
4900;2933.69;--Outros;;
4901;2933.69.1;Cuja estrutura contém cloro em ligação covalente;;
4902;2933.69.11;2,4,6-Triclorotriazina (cloreto cianúrico);0.0;0.0
4903;2933.69.12;Mercaptodiclorotriazina;0.0;0.0
4904;2933.69.13;Atrazina;0.0;0.0
4905;2933.69.14;Simazina;0.0;0.0
4906;2933.69.15;Cianazina;0.0;0.0
4907;2933.69.16;Anilazina;0.0;0.0
4908;2933.69.19;Outros;0.0;0.0
4909;2933.69.2;Cuja estrutura contém funções oxigenadas, mas não contém cloro em ligação covalente;;
4910;2933.69.21;N,N,N-Triidroxietilexaidrotriazina;0.0;0.0
4911;2933.69.22;Hexazinona;0.0;0.0
4912;2933.69.23;Metribuzim;0.0;0.0
4913;2933.69.29;Outros;0.0;0.0
4914;2933.69.9;Outros;;
4915;2933.69.91;Ametrina;0.0;0.0
4916;2933.69.92;Metenamina e seus sais;0.0;0.0
4917;2933.69.99;Outros;0.0;0.0
4918;2933.7;- Lactamas:;;
4919;2933.71.00;--6-Hexanolactama (epsilon-caprolactama);0.0;0.0
4920;2933.72;--Clobazam (DCI) e metiprilona (DCI);;
4921;2933.72.10;Clobazam;0.0;0.0
4922;2933.72.20;Metiprilona;0.0;0.0
4923;2933.79;--Outras lactamas;;
4924;2933.79.10;Piracetam;0.0;0.0
4925;2933.79.90;Outras;0.0;0.0
4926;2933.9;- Outros:;;
4927;2933.91;"--Alprazolam (DCI), camazepam (DCI), clonazepam (DCI), clorazepato, clordiazepóxido(DCI),delorazepam(DCI),diazepam(DCI),estazolam(DCI),fludiazepam(DCI),flunitrazepam (DCI), flurazepam (DCI), halazepam (DCI), loflazepato de etila (DCI),lorazepam (DCI), lormetazepam (DCI), mazindol (DCI), medazepam (DCI), midazolam(DCI),nimetazepam(DCI),nitrazepam(DCI),nordazepam(DCI),oxazepam(DCI),pinazepam (DCI), pirovalerona (DCI), prazepam (DCI), temazepam (DCI), tetrazepam(DCI) e triazolam (DCI); sais destes produtos";;
4928;2933.91.1;"Alprazolam, camazepam, clonazepam, clorazepato e clorodiazepóxido; sais destesprodutos";;
4929;2933.91.11;Alprazolam;0.0;0.0
4930;2933.91.12;Camazepam;0.0;0.0
4931;2933.91.13;Clonazepam;0.0;0.0
4932;2933.91.14;Clorazepato;0.0;0.0
4933;2933.91.15;Clordiazepóxido;0.0;0.0
4934;2933.91.19;Outros;0.0;0.0
4935;2933.91.2;"Delorazepam, diazepam e estazolam; sais destes produtos";;
4936;2933.91.21;Delorazepam;0.0;0.0
4937;2933.91.22;Diazepam;0.0;0.0
4938;2933.91.23;Estazolam;0.0;0.0
4939;2933.91.29;Outros;0.0;0.0
4940;2933.91.3;"Fludiazepam, flunitrazepam, flurazepam e halazepam; sais destes produtos";;
4941;2933.91.31;Fludiazepam;0.0;0.0
4942;2933.91.32;Flunitrazepam;0.0;0.0
4943;2933.91.33;Flurazepam;0.0;0.0
4944;2933.91.34;Halazepam;0.0;0.0
4945;2933.91.39;Outros;0.0;0.0
4946;2933.91.4;"Loflazepato de etila, lorazepam e lormetazepam; sais destes produtos";;
4947;2933.91.41;Loflazepato de etila;0.0;0.0
4948;2933.91.42;Lorazepam;0.0;0.0
4949;2933.91.43;Lormetazepam;0.0;0.0
4950;2933.91.49;Outros;0.0;0.0
4951;2933.91.5;"Mazindol, medazepam e midazolam; sais destes produtos";;
4952;2933.91.51;Mazindol;0.0;0.0
4953;2933.91.52;Medazepam;0.0;0.0
4954;2933.91.53;Midazolam e seus sais;0.0;0.0
4955;2933.91.59;Outros;0.0;0.0
4956;2933.91.6;"Nimetazepam, nitrazepam, nordazepam e oxazepam; sais destes produtos";;
4957;2933.91.61;Nimetazepam;0.0;0.0
4958;2933.91.62;Nitrazepam;0.0;0.0
4959;2933.91.63;Nordazepam;0.0;0.0
4960;2933.91.64;Oxazepam;0.0;0.0
4961;2933.91.69;Outros;0.0;0.0
4962;2933.91.7;"Pinazepam, pirovalerona e prazepam; sais destes produtos";;
4963;2933.91.71;Pinazepam;0.0;0.0
4964;2933.91.72;Pirovalerona;0.0;0.0
4965;2933.91.73;Prazepam;0.0;0.0
4966;2933.91.79;Outros;0.0;0.0
4967;2933.91.8;"Temazepam, tetrazepam e triazolam; sais destes produtos";;
4968;2933.91.81;Temazepam;0.0;0.0
4969;2933.91.82;Tetrazepam;0.0;0.0
4970;2933.91.83;Triazolam;0.0;0.0
4971;2933.91.89;Outros;0.0;0.0
4972;2933.92.00;--Azinfós metil (ISO);0.0;0.0
4973;2933.99;--Outros;;
4974;2933.99.1;"Cuja estrutura contém um ciclo pirazina não condensado ou ciclos indol (hidrogenadosou não) sem outras condensações";;
4975;2933.99.11;Pirazinamida;0.0;0.0
4976;2933.99.12;Cloridrato de amilorida;0.0;0.0
4977;2933.99.13;Pindolol;0.0;0.0
4978;2933.99.19;Outros;0.0;0.0
4979;2933.99.20;Cuja estrutura contém um ciclo diazepina (hidrogenado ou não);0.0;0.0
4980;2933.99.3;Cuja estrutura contém um ciclo azepina (hidrogenado ou não);;
4981;2933.99.31;Dibenzoazepina (iminoestilbeno);0.0;0.0
4982;2933.99.32;Carbamazepina;0.0;0.0
4983;2933.99.33;Cloridrato de clomipramina;0.0;0.0
4984;2933.99.34;Molinate (hexaidroazepin-1-carbotioato de S-etila);0.0;0.0
4985;2933.99.35;Hexametilenoimina;0.0;0.0
4986;2933.99.39;Outros;0.0;0.0
4987;2933.99.4;Cuja estrutura contém um ciclo pirrol (hidrogenado ou não);;
4988;2933.99.41;"Clemastina e seus derivados; sais destes produtos";0.0;0.0
4989;2933.99.42;Amisulprida;0.0;0.0
4990;2933.99.43;Sultoprida;0.0;0.0
4991;2933.99.44;Alizaprida;0.0;0.0
4992;2933.99.45;"Buflomedil e seus derivados; sais destes produtos";0.0;0.0
4993;2933.99.46;Maleato de enalapril;0.0;0.0
4994;2933.99.47;Ketorolac trometamina;0.0;0.0
4995;2933.99.49;Outros;0.0;0.0
4996;2933.99.5;Cuja estrutura contém um ciclo imidazol (hidrogenados ou não);;
4997;2933.99.51;Benomil;0.0;0.0
4998;2933.99.52;Oxifendazol;0.0;0.0
4999;2933.99.53;Albendazol e seu sulfóxido;0.0;0.0
5000;2933.99.54;Mebendazol;0.0;0.0
5001;2933.99.55;Flubendazol;0.0;0.0
5002;2933.99.56;Fembendazol;0.0;0.0
5003;2933.99.59;Outros;0.0;0.0
5004;2933.99.6;Cuja estrutura contém um ciclo triazol (hidrogenado ou não), não condensado;;
5005;2933.99.61;Triadimenol;0.0;0.0
5006;2933.99.62;Triadimefon;0.0;0.0
5007;2933.99.63;Triazofós (fosforotioato de O,O-dietila O-(1-fenil-1H-1,2,4-triazol-3-ila));0.0;0.0
5008;2933.99.69;Outros;0.0;0.0
5009;2933.99.9;Outros;;
5010;2933.99.91;Azinfós etílico;0.0;0.0
5011;2933.99.92;Ácido nalidíxico;0.0;0.0
5012;2933.99.93;Clofazimina;0.0;0.0
5013;2933.99.95;Metilssulfato de amezínio;0.0;0.0
5014;2933.99.96;Hidrazida maléica e seus sais;0.0;0.0
5015;2933.99.99;Outros;0.0;0.0
5017;29.34;"Ácidosnucleicoseseussais,deconstituiçãoquímicadefinidaounão;outroscompostos heterocíclicos.";;
5018;2934.10;- Compostos cuja estrutura contém um ciclo tiazol (hidrogenado ou não) não condensado;;
5019;2934.10.10;Fentiazac;0.0;0.0
5020;2934.10.20;Cloridrato de tiazolidina;0.0;0.0
5021;2934.10.30;Tiabendazol;0.0;0.0
5022;2934.10.90;Outros;0.0;0.0
5023;2934.20;"- Compostos cuja estrutura contém ciclos benzotiazol (hidrogenados ou não) sem outrascondensações";;
5024;2934.20.10;2-Mercaptobenzotiazol e seus sais;0.0;0.0
5025;2934.20.20;2,2'-Ditio-bis(benzotiazol) (dissulfeto de benzotiazila);0.0;0.0
5026;2934.20.3;Benzotiazol sulfenamidas;;
5027;2934.20.31;2-(Terbutilaminotio)benzotiazol (N-terbutil-benzotiazol-sulfenamida);0.0;0.0
5028;2934.20.32;2-(Cicloexilaminotio)benzotiazol (N-cicloexil-benzotiazol-sulfenamida);0.0;0.0
5029;2934.20.33;2-(Dicicloexilaminotio)benzotiazol (N,N-dicicloexil-benzotiazol-sulfenamida);0.0;0.0
5030;2934.20.34;2-(4-Morfoliniltio)benzotiazol (N-oxidietileno-benzotiazol-sulfenamida);0.0;0.0
5031;2934.20.39;Outras;0.0;0.0
5032;2934.20.40;2-(Tiocianometiltio)benzotiazol (TCMTB);0.0;0.0
5033;2934.20.90;Outros;0.0;0.0
5034;2934.30;"- Compostos cuja estrutura contém ciclos fenotiazina (hidrogenados ou não) sem outrascondensações";;
5035;2934.30.10;Maleato de metotrimeprazina (maleato de levomepromazina);0.0;0.0
5036;2934.30.20;Enantato de flufenazina;0.0;0.0
5037;2934.30.30;Prometazina;0.0;0.0
5038;2934.30.90;Outros;0.0;0.0
5039;2934.9;- Outros:;;
5040;2934.91;"--Aminorex (DCI), brotizolam (DCI), clotiazepam (DCI), cloxazolam (DCI), dextromoramida(DCI), fendimetrazina (DCI), fenmetrazina (DCI), haloxazolam (DCI), ketazolam (DCI),mesocarbo (DCI), oxazolam (DCI), pemolina (DCI) e sufentanila (DCI);sais destesprodutos";;
5041;2934.91.1;"Aminorex e brotizolan; sais destes produtos";;
5042;2934.91.11;Aminorex e seus sais;0.0;0.0
5043;2934.91.12;Brotizolam e seus sais;0.0;0.0
5044;2934.91.2;"Clotiazepam, cloxazolam e dextromoramida; sais destes produtos";;
5045;2934.91.21;Clotiazepam;0.0;0.0
5046;2934.91.22;Cloxazolam;0.0;0.0
5047;2934.91.23;Dextromoramida;0.0;0.0
5048;2934.91.29;Outros;0.0;0.0
5049;2934.91.3;"Fendimetrazina, fenmetrazina e haloxazolam; sais destes produtos";;
5050;2934.91.31;Fendimetrazina e seus sais;0.0;0.0
5051;2934.91.32;Fenmetrazina e seus sais;0.0;0.0
5052;2934.91.33;Haloxazolam e seus sais;0.0;0.0
5053;2934.91.4;"Ketazolam e mesocarbo; sais destes produtos";;
5054;2934.91.41;Ketazolam;0.0;0.0
5055;2934.91.42;Mesocarbo;0.0;0.0
5056;2934.91.49;Outros;0.0;0.0
5057;2934.91.50;Oxazolam e seus sais;0.0;0.0
5058;2934.91.60;Pemolina e seus sais;0.0;0.0
5059;2934.91.70;Sufentanila e seus sais;0.0;0.0
5060;2934.99;--Outros;;
5061;2934.99.1;"Cuja estrutura contém um ciclo oxazina (hidrogenado ou não), exceto os que contenhamheteroátomo(s) de enxofre";;
5062;2934.99.11;Morfolina e seus sais;0.0;0.0
5063;2934.99.12;Pirenoxina sódica (catalino sódico);0.0;0.0
5064;2934.99.13;Nimorazol;0.0;0.0
5065;2934.99.14;Anidrido isatóico (2H-3,1-benzoxazina-2,4-(1H)-diona);0.0;0.0
5066;2934.99.15;4,4'-Ditiodimorfolina;0.0;0.0
5067;2934.99.19;Outros;0.0;0.0
5068;2934.99.2;"Cuja estrutura contém exclusivamente 3 heteroátomos de nitrogênio (azoto) e oxigênioem conjunto, exceto os ácidos nucleicos e seus sais e os produtos compreendidos noitem 2934.99.1";;
5069;2934.99.22;Zidovudina (AZT);0.0;0.0
5070;2934.99.23;Timidina;0.0;0.0
5071;2934.99.24;Furazolidona;0.0;0.0
5072;2934.99.25;Citarabina;0.0;0.0
5073;2934.99.26;Oxadiazona;0.0;0.0
5074;2934.99.27;Estavudina;0.0;0.0
5075;2934.99.29;Outros;0.0;0.0
5076;2934.99.3;"Outros, cuja estrutura contém exclusivamente heteroátomos de nitrogênio (azoto) eoxigênio";;
5077;2934.99.31;Cetoconazol;0.0;0.0
5078;2934.99.32;Cloridrato de prazosina;0.0;0.0
5079;2934.99.33;Talniflumato;0.0;0.0
5080;2934.99.34;Ácidos nucleicos e seus sais;0.0;0.0
5081;2934.99.35;Propiconazol;0.0;0.0
5082;2934.99.39;Outros;0.0;0.0
5083;2934.99.4;"Cuja estrutura contém exclusivamente até 2 heteroátomos de enxofre ou um de enxofree um de nitrogênio (azoto)";;
5084;2934.99.41;Tiofeno;0.0;0.0
5085;2934.99.42;Ácido 6-aminopenicilânico;0.0;0.0
5086;2934.99.43;Ácido 7-aminocefalosporânico;0.0;0.0
5087;2934.99.44;Ácido 7-aminodesacetoxicefalosporânico;0.0;0.0
5088;2934.99.45;Clormezanona;0.0;0.0
5089;2934.99.46;9-(N-Metil-4-piperidinilideno)tioxanteno;0.0;0.0
5090;2934.99.49;Outros;0.0;0.0
5091;2934.99.5;"Cuja estrutura contém exclusivamente 3 heteroátomos de enxofre e nitrogênio (azoto)em conjunto";;
5092;2934.99.51;Tebutiuron;0.0;0.0
5093;2934.99.52;Tetramisol;0.0;0.0
5094;2934.99.53;Levamisol e seus sais;0.0;0.0
5095;2934.99.54;Tioconazol;0.0;0.0
5096;2934.99.59;Outros;0.0;0.0
5097;2934.99.6;"Outros, cuja estrutura contém exclusivamente heteroátomos de enxofre ou de enxofree nitrogênio (azoto)";;
5098;2934.99.61;Cloridrato de tizanidina;0.0;0.0
5099;2934.99.69;Outros;0.0;0.0
5100;2934.99.9;Outros;;
5101;2934.99.91;Timolol;0.0;0.0
5102;2934.99.92;Maleato ácido de timolol;0.0;0.0
5103;2934.99.93;Lamivudina;0.0;0.0
5104;2934.99.99;Outros;0.0;0.0
5106;29.35;Sulfonamidas.;;
5107;2935.10.00;- N-Metilperfluoroctano sulfonamida;0.0;0.0
5108;2935.20.00;- N-Etilperfluoroctano sulfonamida;0.0;0.0
5109;2935.30.00;- N-Etil-N-(2-hidroxietil)perfluoroctano sulfonamida;0.0;0.0
5110;2935.40.00;- N-(2-Hidroxietil)-N-metilperfluoroctano sulfonamida;0.0;0.0
5111;2935.50.00;- Outras perfluoroctanossulfonamidas;0.0;0.0
5112;2935.90;- Outras;;
5113;2935.90.1;"Cuja estrutura contém exclusivamente heterociclo(s) com heteroátomo(s) de nitrogênio(azoto)";;
5114;2935.90.11;Sulfadiazina e seu sal sódico;0.0;0.0
5115;2935.90.12;Clortalidona;0.0;0.0
5116;2935.90.13;Sulpirida;0.0;0.0
5117;2935.90.14;Veraliprida;0.0;0.0
5118;2935.90.15;Sulfametazina (4,6-dimetil-2-sulfanilamidopirimidina) e seu sal sódico;0.0;0.0
5119;2935.90.19;Outras;0.0;0.0
5120;2935.90.2;Cuja estrutura contém outro(s) heterociclo(s);;
5121;2935.90.21;Furosemida;0.0;0.0
5122;2935.90.22;Ftalilsulfatiazol;0.0;0.0
5123;2935.90.23;Piroxicam;0.0;0.0
5124;2935.90.24;Tenoxicam;0.0;0.0
5125;2935.90.25;Sulfametoxazol;0.0;0.0
5126;2935.90.29;Outras;0.0;0.0
5127;2935.90.9;Outras;;
5128;2935.90.91;Cloramina-B e cloramina-T;0.0;0.0
5129;2935.90.92;Gliburida;0.0;0.0
5130;2935.90.93;Toluenossulfonamidas;0.0;0.0
5131;2935.90.94;Nimesulida;0.0;0.0
5132;2935.90.95;Bumetanida;0.0;0.0
5133;2935.90.96;Sulfaguanidina;0.0;0.0
5134;2935.90.97;Sulfluramida;0.0;0.0
5135;2935.90.99;Outras;0.0;0.0
5139;29.36;"Provitaminasevitaminas,naturaisoureproduzidasporsíntese(incluindoosconcentrados naturais), bem como os seus derivados utilizados principalmente comovitaminas, misturados ou não entre si, mesmo em quaisquer soluções.";;
5140;2936.2;- Vitaminas e seus derivados, não misturados:;;
5141;2936.21;--Vitaminas A e seus derivados;;
5142;2936.21.1;Vitamina A1 álcool (retinol) e seus derivados;;
5143;2936.21.11;Vitamina A1 álcool (retinol);0.0;0.0
5144;2936.21.12;Acetato;0.0;0.0
5145;2936.21.13;Palmitato;0.0;0.0
5146;2936.21.19;Outros;0.0;0.0
5147;2936.21.90;Outros;0.0;0.0
5148;2936.22;--Vitamina B1 e seus derivados;;
5149;2936.22.10;Cloridrato de vitamina B1 (cloridrato de tiamina);0.0;0.0
5150;2936.22.20;Mononitrato de vitamina B1 (mononitrato de tiamina);0.0;0.0
5151;2936.22.90;Outros;0.0;0.0
5152;2936.23;--Vitamina B2 e seus derivados;;
5153;2936.23.10;Vitamina B2 (riboflavina);0.0;0.0
5154;2936.23.20;5'-Fosfato sódico de vitamina B2 (5'-fosfato sódico de riboflavina);0.0;0.0
5155;2936.23.90;Outros;0.0;0.0
5156;2936.24;--Ácido D- ou DL-pantotênico (vitamina B3 ou vitamina B5) e seus derivados;;
5157;2936.24.10;D-Pantotenato de cálcio;0.0;0.0
5158;2936.24.90;Outros;0.0;0.0
